VENCIMENT;STATUS                      ;TIPO    ;QUANTIDADE
27-JAN-23;Em Processamento            ;WHATSAPP;         2
27-JAN-23;Em Processamento            ;WHATSAPP;         3
30-JAN-23;Em Processamento            ;WHATSAPP;       190
30-JAN-23;Carregada                   ;WHATSAPP;       190
30-JAN-23;Aguardando Processamento    ;E-MAIL  ;       190
30-JAN-23;Carregada                   ;E-MAIL  ;       190
30-JAN-23;Em Processamento            ;WHATSAPP;       178
30-JAN-23;Processado com suscesso     ;E-MAIL  ;      1188
31-JAN-23;Aguardando Fatura           ;E-MAIL  ;        14
31-JAN-23;Aguardando Fatura Resumida  ;WHATSAPP;         2
31-JAN-23;Processado com suscesso     ;E-MAIL  ;         2
31-JAN-23;Aguardando Fatura Resumida  ;WHATSAPP;         1
01-FEB-23;Processado com suscesso     ;WHATSAPP;        23
01-FEB-23;Processado com suscesso     ;WHATSAPP;         2
01-FEB-23;Processado com suscesso     ;E-MAIL  ;        34
01-FEB-23;Processado com suscesso     ;WHATSAPP;         9
01-FEB-23;Processado com suscesso     ;E-MAIL  ;        22
01-FEB-23;Em Processamento            ;WHATSAPP;         2
01-FEB-23;Aguardando Fatura Resumida  ;WHATSAPP;         2
01-FEB-23;Aguardando Fatura Resumida  ;WHATSAPP;         1
01-FEB-23;Em Processamento            ;WHATSAPP;         1
01-FEB-23;Processado com suscesso     ;E-MAIL  ;         1
01-FEB-23;Aguardando Fatura Resumida  ;WHATSAPP;         1
01-FEB-23;Aguardando Fatura           ;E-MAIL  ;         2
01-FEB-23;Processado com suscesso     ;E-MAIL  ;        15
01-FEB-23;Em Processamento            ;WHATSAPP;        18
01-FEB-23;Em Processamento            ;WHATSAPP;         3
01-FEB-23;Download da Fatura Realizado;WHATSAPP;         2
01-FEB-23;Aguardando Fatura           ;E-MAIL  ;        41
01-FEB-23;Download da Fatura Realizado;WHATSAPP;        45
01-FEB-23;Processado com suscesso     ;E-MAIL  ;       107
01-FEB-23;Download da Fatura Realizado;WHATSAPP;         2
01-FEB-23;Aguardando Fatura           ;E-MAIL  ;         7
01-FEB-23;Em Processamento            ;WHATSAPP;        18
01-FEB-23;Aguardando Fatura           ;E-MAIL  ;        34
01-FEB-23;Processado com suscesso     ;WHATSAPP;       105
01-FEB-23;Aguardando Fatura           ;E-MAIL  ;         3
01-FEB-23;Download da Fatura Realizado;WHATSAPP;        17
01-FEB-23;Processado com suscesso     ;WHATSAPP;        33
01-FEB-23;Download da Fatura Realizado;WHATSAPP;         2
01-FEB-23;Em Processamento            ;WHATSAPP;         2
01-FEB-23;Em Processamento            ;WHATSAPP;         3
01-FEB-23;Download da Fatura Realizado;WHATSAPP;         2
01-FEB-23;Processado com suscesso     ;WHATSAPP;        61
01-FEB-23;Em Processamento            ;WHATSAPP;         2
01-FEB-23;Download da Fatura Realizado;WHATSAPP;         1
01-FEB-23;Processado com suscesso     ;WHATSAPP;        10
01-FEB-23;Processado com suscesso     ;E-MAIL  ;        31
01-FEB-23;Download da Fatura Realizado;WHATSAPP;         2
01-FEB-23;Processado com suscesso     ;E-MAIL  ;        60
01-FEB-23;Processado com suscesso     ;E-MAIL  ;        62
01-FEB-23;Download da Fatura Realizado;WHATSAPP;         3
01-FEB-23;Download da Fatura Realizado;WHATSAPP;         1
01-FEB-23;Em Processamento            ;WHATSAPP;       639
01-FEB-23;Processado com suscesso     ;E-MAIL  ;        80
01-FEB-23;Aguardando Fatura Resumida  ;WHATSAPP;         1
01-FEB-23;Processado com suscesso     ;WHATSAPP;        29
01-FEB-23;Aguardando Fatura           ;E-MAIL  ;        58
01-FEB-23;Processado com suscesso     ;WHATSAPP;        25
01-FEB-23;Aguardando Fatura           ;E-MAIL  ;         2
01-FEB-23;Download da Fatura Realizado;WHATSAPP;         5
01-FEB-23;Em Processamento            ;WHATSAPP;         1
01-FEB-23;Processado com suscesso     ;WHATSAPP;       195
01-FEB-23;Aguardando Fatura Resumida  ;WHATSAPP;         3
01-FEB-23;Em Processamento            ;WHATSAPP;         1
02-FEB-23;Aguardando Fatura           ;E-MAIL  ;        71
02-FEB-23;Processado com suscesso     ;WHATSAPP;        46
02-FEB-23;Processado com suscesso     ;E-MAIL  ;       257
02-FEB-23;Processado com suscesso     ;E-MAIL  ;         8
02-FEB-23;Em Processamento            ;WHATSAPP;         1
02-FEB-23;Processado com suscesso     ;WHATSAPP;         3
02-FEB-23;Download da Fatura Realizado;WHATSAPP;         3
02-FEB-23;Em Processamento            ;WHATSAPP;         4
03-FEB-23;Processado com suscesso     ;WHATSAPP;     28167
03-FEB-23;Em Processamento            ;WHATSAPP;      1772
03-FEB-23;Em Processamento            ;E-MAIL  ;        12
03-FEB-23;Processado com suscesso     ;WHATSAPP;         1
04-FEB-23;Processado com suscesso     ;E-MAIL  ;      6096
04-FEB-23;Aguardando Fatura Resumida  ;WHATSAPP;        16
04-FEB-23;Aguardando Fatura Resumida  ;WHATSAPP;       307
04-FEB-23;Processado com suscesso     ;E-MAIL  ;      4455
04-FEB-23;Aguardando Fatura Resumida  ;WHATSAPP;       117
04-FEB-23;Aguardando Fatura Resumida  ;WHATSAPP;      1069
04-FEB-23;Aguardando Fatura           ;E-MAIL  ;        10
04-FEB-23;Aguardando Fatura Resumida  ;WHATSAPP;         8
04-FEB-23;Aguardando Fatura           ;E-MAIL  ;         1
04-FEB-23;Processado com suscesso     ;WHATSAPP;        12
04-FEB-23;Processado com suscesso     ;E-MAIL  ;        21
04-FEB-23;Processado com suscesso     ;E-MAIL  ;         2
04-FEB-23;Download da Fatura Realizado;WHATSAPP;         1
04-FEB-23;Processado com suscesso     ;WHATSAPP;         1
04-FEB-23;Processado com suscesso     ;E-MAIL  ;        11
04-FEB-23;Processado com suscesso     ;E-MAIL  ;         6
04-FEB-23;Aguardando Fatura           ;E-MAIL  ;         1
04-FEB-23;Processado com suscesso     ;WHATSAPP;        66
04-FEB-23;Download da Fatura Realizado;WHATSAPP;        37
04-FEB-23;Processado com suscesso     ;WHATSAPP;         4
04-FEB-23;Aguardando Fatura           ;E-MAIL  ;         5
04-FEB-23;Processado com suscesso     ;E-MAIL  ;        34
04-FEB-23;Em Processamento            ;WHATSAPP;         4
04-FEB-23;Processado com suscesso     ;E-MAIL  ;       109
05-FEB-23;Download da Fatura Realizado;WHATSAPP;        14
05-FEB-23;Processado com suscesso     ;E-MAIL  ;         2
05-FEB-23;Processado com suscesso     ;E-MAIL  ;         2
05-FEB-23;Processado com suscesso     ;E-MAIL  ;      1401
05-FEB-23;Processado com suscesso     ;WHATSAPP;        97
